sample	compressor	size	noise	correct
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	gzip	1	1.0	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	lzma	1	1.0	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	bzip2	1	1.0	True
For Alise (Bethoven)	gzip	1	1.0	False
For Alise (Bethoven)	lzma	1	1.0	False
For Alise (Bethoven)	bzip2	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	gzip	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	lzma	1	1.0	False
Crazy 036 Gnarls Barkley St. Elsewhere	bzip2	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	gzip	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	lzma	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	bzip2	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	gzip	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	lzma	1	1.0	False
Girlfriend 061 Avril Lavigne Girlfriend EP	bzip2	1	1.0	True
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	gzip	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	lzma	1	1.0	False
Ain't It Funny (feat. Ja Rule & Cadillac Tah) [Murder Remix] 086 Jennifer Lopez J to tha L-O! The	bzip2	1	1.0	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	gzip	1	1.0	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	lzma	1	1.0	False
Single Ladies (Put a Ring On It) 022 Beyoncé I Am... Sasha Fierce	bzip2	1	1.0	True
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	gzip	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	lzma	1	1.0	False
Umbrella (feat. JAY Z) 013 Rihanna Good Girl Gone Bad_ Reloaded	bzip2	1	1.0	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	gzip	1	1.0	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	lzma	1	1.0	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	bzip2	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	gzip	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	lzma	1	1.0	False
No Such Thing 078 John Mayer Room for Squares	bzip2	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	gzip	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	lzma	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	bzip2	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	gzip	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	lzma	1	1.0	False
Closer 032 Ne-Yo Year of the Gentleman (Deluxe Edition)	bzip2	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	gzip	1	1.0	True
Get the Party Started 045 P!nk M!ssundaztood	lzma	1	1.0	False
Get the Party Started 045 P!nk M!ssundaztood	bzip2	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	gzip	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	lzma	1	1.0	False
The Call 008 Backstreet Boys Black & Blue	bzip2	1	1.0	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	gzip	1	1.0	False
Goodies (feat. Petey Pablo) 081 Ciara Goodies	lzma	1	1.0	True
Goodies (feat. Petey Pablo) 081 Ciara Goodies	bzip2	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	gzip	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	lzma	1	1.0	False
Oh Boy (feat. Juelz Santana) 066 Cam'ron Come Home With Me	bzip2	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	gzip	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	lzma	1	1.0	False
Rehab 056 Amy Winehouse Back to Black	bzip2	1	1.0	False
He Wasn't Man Enough 092 Toni Braxton The Heat	gzip	1	1.0	False
